Primary Text,Headline,Description,Link,CTA
"Meet Lem – your zesty new playmate 🍋

Its happy yellow hue makes it perfect for those exploring air suction bliss for the first time.

Order Lem now, if you’re looking for a fresh escape from everything boring, blending zest and discretion in every touch.",🤭 Discreet Packaging + Free Shipping,Limited units available,http://unlock.hellonancy.com/lem,Shop now
"""I’m addicted. Lem sucks and pulls in the wildest way.”

Lem’s happy yellow hue makes it perfect for those exploring air suction bliss for the first time.

🤫 Discreet & Ultra-quiet
🌬️ Air Suction Technology
💧 Waterproof",Your Secret is Safe With Lem 🍋,,,
"”I’m addicted. Lem sucks and pulls in the wildest way.”

Lem’s happy yellow hue makes it perfect for those exploring air suction bliss for the first time.

Order Lem now, if you’re looking for a fresh escape from everything boring, blending zest and discretion in every touch.",Your Zesty New Playmate 🍋,,,
"It’s not cheating if it’s Lem. Your little yellow secret is quiet, powerful, and knows exactly where to kiss.",These Absolutely Suck!,,,
"“I never knew suction could feel this good.”

Meet Lem: the toy that made me cancel date night (again). 🍋💦",So Good. You'll Scream.,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Primary Text,Headline,Description,Link,CTA
"That tiny yellow one 🍋
Easy to hold, easy to use.
Nothing complicated at all...
until things get a little more intense. 💦",Your Zesty New Playmate 🍋,Limited units available,http://unlock.hellonancy.com/lem,Shop now
Don’t underestimate something this small 🍋,"So Good, You’ll Scream",,,
"For something so small...
you wouldn’t expect what it can do.","Cute, Quiet and Dangerous",,,
"Small enough to keep things quiet...
exactly how you like it 🩷",Your Secret is Safe With Lem 🍋,,,
"Join 500,000+ women who thought it was just a cute little thing...
until they felt it.",,,,
,,,,
,,,,
Primary Text,Headline,Description,Link,CTA
"They don’t usually talk about things like this on ITV...

but somehow this little lemon made it 🍋",On the UK’s Biggest Daytime Show 👀,No explanation needed.,http://unlock.hellonancy.com/lem,Shop now
"Small, quiet, and very easy to use...

Which is probably why people get that reaction 👀🍋",Small Size. Big Reaction.,,,
The way he suddenly didn’t want to explain it anymore and just said ‘read the reviews’...,"500,000+ Can’t Be Wrong",,,
"500,000+ sold and they’re still reacting like this 😱

Yeah... there’s a reason. 🩷",That Reaction. Every Time.,,,
"They don’t usually feature things like this on ITV…

But this one? Easy to show, easy to talk about.",Lem Made It to ITV 👀🍋,,,
,,,,
Primary Text,Headline,Description,Link,CTA
"The way she looked at me like “girl... same” 😅🍋
I felt seen.",,,http://unlock.hellonancy.com/lem,Shop now
